valid_key_count,duplicate_key_count,excess_duplicate_rows,conflicting_key_count,conflicting_rows,max_key_multiplicity,year,file
2093838,0,0,0,0,1,2022,2022\Q1\data_2201.csv
1897370,0,0,0,0,1,2022,2022\Q1\data_2202.csv
203625,0,0,0,0,1,2022,2022\Q1\data_2203.csv
1433601,0,0,0,0,1,2022,2022\Q2\data_2204.csv
2120698,0,0,0,0,1,2022,2022\Q2\data_2205.csv
2059307,0,0,0,0,1,2022,2022\Q2\data_2206.csv
2143590,0,0,0,0,1,2022,2022\Q3\data_2207.csv
2161269,0,0,0,0,1,2022,2022\Q3\data_2208.csv
2103568,0,0,0,0,1,2022,2022\Q3\data_2209.csv
2187243,0,0,0,0,1,2022,2022\Q4\22.10.csv
2122821,0,0,0,0,1,2022,2022\Q4\22.11.csv
2209446,0,0,0,0,1,2022,2022\Q4\22.12.csv
951999,951998,4749415,483574,2896381,6,2023,2023\Q1\data_230101~230115.csv
1018265,1018265,5091322,484679,2908071,6,2023,2023\Q1\data_230116~230131.csv
955614,955614,4778060,567151,3402905,6,2023,2023\Q1\data_230201~230215.csv
828998,826341,4126388,507185,3041208,6,2023,2023\Q1\data_230216~230228.csv
957312,957312,4786557,613506,3681036,6,2023,2023\Q1\data_230301~230315.csv
1022029,1022028,5110130,704220,4225320,6,2023,2023\Q1\data_230316~230331.csv
960461,960460,4802299,624402,3746412,6,2023,2023\Q2\data_230401~230415.csv
961200,961200,4806000,649961,3899766,6,2023,2023\Q2\data_230416~230430.csv
961803,961803,4809011,640187,3841121,6,2023,2023\Q2\data_230501~230515.csv
1027083,1027083,5135408,680399,4082391,6,2023,2023\Q2\data_230516~230531.csv
963681,963681,4815729,696509,4176760,6,2023,2023\Q2\data_230601~230615.csv
963720,963720,4813246,643761,3858858,6,2023,2023\Q2\data_230616~230630.csv
964642,964641,4823191,590759,3544548,6,2023,2023\Q3\data_230701~230715.csv
1032719,1032716,5163569,680858,4085144,6,2023,2023\Q3\data_230716~230731.csv
969840,969840,4849200,614826,3688956,6,2023,2023\Q3\data_230801~230815.csv
1035187,1035187,5175922,682374,4093062,7,2023,2023\Q3\data_230816~230831.csv
521228,521227,2595321,367323,2197424,6,2023,2023\Q3\data_230901~230915.csv
973440,973440,4867200,626600,3759600,6,2023,2023\Q3\data_230916~230930.csv
616848,614138,3067982,435033,2608464,6,2023,2023\Q4\data_231001~231015.csv
1040956,1040955,5202062,746233,4476282,7,2023,2023\Q4\data_231016~231031.csv
976553,976553,4880048,650935,3905851,7,2023,2023\Q4\data_231101~231115.csv
977377,977377,4886880,622742,3736452,6,2023,2023\Q4\data_231116~231130.csv
977632,977632,4885438,565349,3390615,6,2023,2023\Q4\data_231201~231215.csv
1044322,1044322,5221609,495537,2973222,6,2023,2023\Q4\data_231216~231231.csv
1896642,0,0,0,0,1,2024,2024\Q1\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_1분기\data_2401.csv
1776951,0,0,0,0,1,2024,2024\Q1\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_1분기\data_2402.csv
2017684,14506,14506,14506,29012,2,2024,2024\Q1\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_1분기\data_2403.csv
773867,4161,4161,4161,8322,2,2024,2024\Q2\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_2분기\data_2404.csv
1867638,14831,14831,14831,29662,2,2024,2024\Q2\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_2분기\data_2405.csv
2094629,12771,12771,12771,25542,2,2024,2024\Q2\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_2분기\data_2406.csv
2304969,1292111,2364280,1292111,3656391,7,2024,2024\Q3\data_2407.csv
2309896,1374398,2523074,1374398,3897472,7,2024,2024\Q3\data_2408.csv
2238580,0,0,0,0,1,2024,2024\Q3\data_2409.csv
2330472,0,0,0,0,1,2024,2024\Q4\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_4분기\data_2410.csv
2257632,0,0,0,0,1,2024,2024\Q4\서울특별시_대여소별 공공자전거 대여가능 수량(1시간 단위)_2024년도_4분기\data_2411.csv
