year,horizon_hours,base_count,matched_count,missing_future_count,availability_percent,zero_future_count
2022,1,22736376,22716033,20343,99.910527,4768924
2022,2,22736376,22698653,37723,99.834085,4765159
2022,3,22736376,22689995,46381,99.796005,4763411
2022,4,22736376,22681338,55038,99.75793,4761794
2023,1,8328806,5366277,2962529,64.430328,1622741
2023,2,8328806,5047655,3281151,60.604785,1507094
2023,3,8328806,4781989,3546817,57.41506,1436608
2023,4,8328806,4561557,3767249,54.768439,1384669
2024,1,21491431,20462059,1029372,95.210314,5104266
2024,2,21491431,20343117,1148314,94.656875,5076031
2024,3,21491431,20252371,1239060,94.234632,5053972
2024,4,21491431,20172147,1319284,93.861349,5036305
2025,1,24188026,24165567,22459,99.907148,2582711
2025,2,24188026,24159791,28235,99.883269,2582080
2025,3,24188026,24154015,34011,99.859389,2581464
2025,4,24188026,24148242,39784,99.835522,2580874
