year,horizon_hours,required_bikes,denominator,success_count,success_percent
2022,1,1,22716033,17947109,79.006352
2022,1,2,22716033,16002288,70.444906
2022,1,3,22716033,14474867,63.720928
2022,1,4,22716033,13187008,58.051544
2022,1,5,22716033,12053056,53.059687
2022,2,1,22698653,17933494,79.006864
2022,2,2,22698653,15990144,70.445343
2022,2,3,22698653,14463852,63.721191
2022,2,4,22698653,13176897,58.051449
2022,2,5,22698653,12043721,53.059188
2022,3,1,22689995,17926584,79.006558
2022,3,2,22689995,15983934,70.444855
2022,3,3,22689995,14458192,63.720561
2022,3,4,22689995,13171704,58.050714
2022,3,5,22689995,12038937,53.05835
2022,4,1,22681338,17919544,79.005674
2022,4,2,22681338,15977632,70.443957
2022,4,3,22681338,14452464,63.719627
2022,4,4,22681338,13166458,58.049741
2022,4,5,22681338,12034102,53.057284
2023,1,1,5366277,3743536,69.760394
2023,1,2,5366277,3216545,59.939973
2023,1,3,5366277,2860400,53.303249
2023,1,4,5366277,2574592,47.977248
2023,1,5,5366277,2331260,43.442782
2023,2,1,5047655,3540561,70.14269
2023,2,2,5047655,3022480,59.878894
2023,2,3,5047655,2676926,53.033062
2023,2,4,5047655,2403531,47.616784
2023,2,5,5047655,2172338,43.036578
2023,3,1,4781989,3345381,69.95794
2023,3,2,4781989,2845295,59.500241
2023,3,3,4781989,2511542,52.520865
2023,3,4,4781989,2248949,47.029573
2023,3,5,4781989,2028187,42.413042
2023,4,1,4561557,3176888,69.644816
2023,4,2,4561557,2695183,59.084716
2023,4,3,4561557,2372451,52.009676
2023,4,4,4561557,2118855,46.450258
2023,4,5,4561557,1906764,41.800727
2024,1,1,20462059,15357793,75.054974
2024,1,2,20462059,13836214,67.618875
2024,1,3,20462059,12644280,61.793781
2024,1,4,20462059,11639247,56.882091
2024,1,5,20462059,10761608,52.592987
2024,2,1,20343117,15267086,75.047919
2024,2,2,20343117,13750709,67.593914
2024,2,3,20343117,12563903,61.75997
2024,2,4,20343117,11564649,56.84797
2024,2,5,20343117,10692539,52.560967
2024,3,1,20252371,15198399,75.045035
2024,3,2,20252371,13688115,67.587716
2024,3,3,20252371,12504969,61.745704
2024,3,4,20252371,11509446,56.830116
2024,3,5,20252371,10641127,52.542623
2024,4,1,20172147,15135842,75.033372
2024,4,2,20172147,13631733,67.577006
2024,4,3,20172147,12453063,61.733949
2024,4,4,20172147,11460891,56.815425
2024,4,5,20172147,10596063,52.528187
2025,1,1,24165567,21582856,89.312434
2025,1,2,24165567,19800856,81.938305
2025,1,3,24165567,18312597,75.779712
2025,1,4,24165567,17012844,70.401179
2025,1,5,24165567,15839679,65.546482
2025,2,1,24159791,21577711,89.31249
2025,2,2,24159791,19796121,81.938296
2025,2,3,24159791,18308273,75.779931
2025,2,4,24159791,17008897,70.401673
2025,2,5,24159791,15836041,65.547094
2025,3,1,24154015,21572551,89.312485
2025,3,2,24154015,19791494,81.938734
2025,3,3,24154015,18304064,75.780627
2025,3,4,24154015,17005105,70.402809
2025,3,5,24154015,15832575,65.548419
2025,4,1,24148242,21567368,89.312373
2025,4,2,24148242,19786807,81.938913
2025,4,3,24148242,18299790,75.781044
2025,4,4,24148242,17001210,70.40351
2025,4,5,24148242,15829012,65.549335
