relative_path,year,description,recommended,approved
2023_시간대별_데이터\data_202301.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202302.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202303.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202304.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202305.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202306.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202307.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202308.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202309.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202310.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202311.csv,2023,2023년 시간대별 데이터,False,False
2023_시간대별_데이터\data_202312.csv,2023,2023년 시간대별 데이터,False,False
2024_시간대별_데이터\24년10월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년11월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년12월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년1월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년2월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년3월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년4월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년5월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년6월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년7월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년8월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2024_시간대별_데이터\24년9월 시간대별 데이터.csv,2024,2024년 시간대별 데이터,True,False
2025_시간대별_데이터\25년10월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년11월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년12월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년1월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년2월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년3월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년4월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년5월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년6월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년7월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년8월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
2025_시간대별_데이터\25년9월 시간대별 데이터.csv,2025,2025년 시간대별 데이터,True,False
